# TERRAIN_GRASS_NORMAL_TOPLEFT
worldFloor 16 16 7 6
# TERRAIN_GRASS_NORMAL_TOP
worldFloor 16 16 8 6
# TERRAIN_GRASS_NORMAL_TOPRIGHT
worldFloor 16 16 9 6
# TERRAIN_GRASS_NORMAL_LEFT
worldFloor 16 16 7 7
# TERRAIN_GRASS_NORMAL_CENTER
worldFloor 16 16 8 7
# TERRAIN_GRASS_NORMAL_RIGHT
worldFloor 16 16 9 7
# TERRAIN_GRASS_NORMAL_BOTTOMLEFT
worldFloor 16 16 7 8
# TERRAIN_GRASS_NORMAL_BOTTOM
worldFloor 16 16 8 8
# TERRAIN_GRASS_NORMAL_BOTTOMRIGHT
worldFloor 16 16 9 8
# TERRAIN_GRASS_NORMAL_VERT_TOP
worldFloor 16 16 10 6
# TERRAIN_GRASS_NORMAL_VERT
worldFloor 16 16 10 7
# TERRAIN_GRASS_NORMAL_VERT_BOTTOM
worldFloor 16 16 10 8
# TERRAIN_GRASS_NORMAL_SINGLE
worldFloor 16 16 12 6
# TERRAIN_GRASS_NORMAL_HORIZ_LEFT
worldFloor 16 16 11 7
# TERRAIN_GRASS_NORMAL_HORIZ
worldFloor 16 16 12 7
# TERRAIN_GRASS_NORMAL_HORIZ_RIGHT
worldFloor 16 16 13 7
# TERRAIN_SOIL_NORMAL_TOPLEFT
worldFloor 16 16 0 18
# TERRAIN_SOIL_NORMAL_TOP
worldFloor 16 16 1 18
# TERRAIN_SOIL_NORMAL_TOPRIGHT
worldFloor 16 16 2 18
# TERRAIN_SOIL_NORMAL_LEFT
worldFloor 16 16 0 19
# TERRAIN_SOIL_NORMAL_CENTER
worldFloor 16 16 1 19
# TERRAIN_SOIL_NORMAL_RIGHT
worldFloor 16 16 2 19
# TERRAIN_SOIL_NORMAL_BOTTOMLEFT
worldFloor 16 16 0 20
# TERRAIN_SOIL_NORMAL_BOTTOM
worldFloor 16 16 1 20
# TERRAIN_SOIL_NORMAL_BOTTOMRIGHT
worldFloor 16 16 2 20
# TERRAIN_SOIL_NORMAL_VERT_TOP
worldFloor 16 16 3 18
# TERRAIN_SOIL_NORMAL_VERT
worldFloor 16 16 3 19
# TERRAIN_SOIL_NORMAL_VERT_BOTTOM
worldFloor 16 16 3 20
# TERRAIN_SOIL_NORMAL_SINGLE
worldFloor 16 16 5 18
# TERRAIN_SOIL_NORMAL_HORIZ_LEFT
worldFloor 16 16 4 19
# TERRAIN_SOIL_NORMAL_HORIZ
worldFloor 16 16 5 19
# TERRAIN_SOIL_NORMAL_HORIZ_RIGHT
worldFloor 16 16 6 19
# TERRAIN_ROCK_NORMAL_TOPLEFT
worldFloor 16 16 14 6
# TERRAIN_ROCK_NORMAL_TOP
worldFloor 16 16 15 6
# TERRAIN_ROCK_NORMAL_TOPRIGHT
worldFloor 16 16 16 6
# TERRAIN_ROCK_NORMAL_LEFT
worldFloor 16 16 14 7
# TERRAIN_ROCK_NORMAL_CENTER
worldFloor 16 16 15 7
# TERRAIN_ROCK_NORMAL_RIGHT
worldFloor 16 16 16 7
# TERRAIN_ROCK_NORMAL_BOTTOMLEFT
worldFloor 16 16 14 8
# TERRAIN_ROCK_NORMAL_BOTTOM
worldFloor 16 16 15 8
# TERRAIN_ROCK_NORMAL_BOTTOMRIGHT
worldFloor 16 16 16 8
# TERRAIN_ROCK_NORMAL_VERT_TOP
worldFloor 16 16 17 6
# TERRAIN_ROCK_NORMAL_VERT
worldFloor 16 16 17 7
# TERRAIN_ROCK_NORMAL_VERT_BOTTOM
worldFloor 16 16 17 8
# TERRAIN_ROCK_NORMAL_SINGLE
worldFloor 16 16 19 6
# TERRAIN_ROCK_NORMAL_HORIZ_LEFT
worldFloor 16 16 18 7
# TERRAIN_ROCK_NORMAL_HORIZ
worldFloor 16 16 19 7
# TERRAIN_ROCK_NORMAL_HORIZ_RIGHT
worldFloor 16 16 20 7
